14:11:06:800 | INFO  | o.s.b.a.e.j.EndpointMBeanExporter | Unregistering JMX-exposed beans on shutdown
14:11:06:801 | INFO  | o.s.b.a.e.j.EndpointMBeanExporter | Unregistering JMX-exposed beans
14:11:06:802 | INFO  | o.s.j.e.a.AnnotationMBeanExporter | Unregistering JMX-exposed beans on shutdown
14:11:06:804 | INFO  | o.s.o.j.LocalContainerEntityManagerFactoryBean | Closing JPA EntityManagerFactory for persistence unit 'default'
14:11:06:804 | INFO  | o.h.t.h.SchemaExport | HHH000227: Running hbm2ddl schema export
14:11:06:810 | INFO  | o.h.t.h.SchemaExport | HHH000230: Schema export complete
14:12:30:461 | INFO  | o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext | Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5675a18: startup date [Thu Aug 04 14:12:03 CEST 2016]; root of context hierarchy
14:12:30:468 | INFO  | o.s.c.s.DefaultLifecycleProcessor | Stopping beans in phase 0
14:12:30:471 | INFO  | o.s.b.a.e.j.EndpointMBeanExporter | Unregistering JMX-exposed beans on shutdown
14:12:30:477 | INFO  | o.s.b.a.e.j.EndpointMBeanExporter | Unregistering JMX-exposed beans
14:12:30:478 | INFO  | o.s.j.e.a.AnnotationMBeanExporter | Unregistering JMX-exposed beans on shutdown
14:12:30:480 | INFO  | o.s.o.j.LocalContainerEntityManagerFactoryBean | Closing JPA EntityManagerFactory for persistence unit 'default'
14:12:30:481 | INFO  | o.h.t.h.SchemaExport | HHH000227: Running hbm2ddl schema export
14:12:30:495 | INFO  | o.h.t.h.SchemaExport | HHH000230: Schema export complete
14:16:10:379 | INFO  | o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext | Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5675a18: startup date [Thu Aug 04 14:12:41 CEST 2016]; root of context hierarchy
14:16:10:387 | INFO  | o.s.c.s.DefaultLifecycleProcessor | Stopping beans in phase 0
14:16:10:391 | INFO  | o.s.b.a.e.j.EndpointMBeanExporter | Unregistering JMX-exposed beans on shutdown
14:16:10:392 | INFO  | o.s.b.a.e.j.EndpointMBeanExporter | Unregistering JMX-exposed beans
14:16:10:393 | INFO  | o.s.j.e.a.AnnotationMBeanExporter | Unregistering JMX-exposed beans on shutdown
14:16:10:398 | INFO  | o.s.o.j.LocalContainerEntityManagerFactoryBean | Closing JPA EntityManagerFactory for persistence unit 'default'
14:16:10:400 | INFO  | o.h.t.h.SchemaExport | HHH000227: Running hbm2ddl schema export
14:16:10:411 | INFO  | o.h.t.h.SchemaExport | HHH000230: Schema export complete
14:20:03:911 | INFO  | o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext | Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@3c5c9063: startup date [Thu Aug 04 14:16:21 CEST 2016]; root of context hierarchy
14:20:03:914 | INFO  | o.s.c.s.DefaultLifecycleProcessor | Stopping beans in phase 0
14:20:03:918 | INFO  | o.s.b.a.e.j.EndpointMBeanExporter | Unregistering JMX-exposed beans on shutdown
14:20:03:919 | INFO  | o.s.b.a.e.j.EndpointMBeanExporter | Unregistering JMX-exposed beans
14:20:03:920 | INFO  | o.s.j.e.a.AnnotationMBeanExporter | Unregistering JMX-exposed beans on shutdown
